jobId,title,genres,DegreeType
0,Electronics Engineer,MATLAB|Python|VLSI|Digital|Analog,MTech
1,Electronics Engineer,MATLAB|VLSI|Analog,MTech
2,Electronics Engineer,VLSI|Python,MTech
3,Electronics Engineer,VLSI|Analog|Python,MTech
4,Electronics Engineer,VLSI,BE
5,Electronics Engineer,Digital|MATLAB,BE
6,Electronics Engineer,VLSI|Python,MTech
7,Electronics Engineer,MATLAB|VLSI,MTech
8,Electronics Engineer,Digital,MTech
9,Electronics Engineer,Digital|MATLAB,MTech
10,Electronics Engineer,VLSI|Analog|Python,BE
11,Electronics Engineer,VLSI|Digital,BE
12,Electronics Engineer,MATLAB|Python|VLSI,BE
13,Electronics Engineer,Analog,BE
14,Electronics Engineer,Digital|MATLAB|Python,BE
15,Electronics Engineer,Digital|Analog,MTech
16,Electronics Engineer,Analog|Python,BE
17,Electronics Engineer,VLSI,BE
18,Electronics Engineer,VLSI,MTech
19,Electronics Engineer,Digital|VLSI|Analog,MTech
20,Electronics Engineer,VLSI|Digital,BE
21,Electronics Engineer,Digital|Analog|MATLAB,BE
22,Electronics Engineer,Digital,MTech
23,Electronics Engineer,Analog|VLSI,BE
24,Electronics Engineer,Analog|Python,BE
25,Electronics Engineer,Analog,BE
26,Electronics Engineer,VLSI|Analog,MTech
27,Electronics Engineer,Analog|Python,BE
28,Electronics Engineer,MATLAB|Analog|Analog,MTech
29,Electronics Engineer,Digital|Analog,MTech
30,Electronics Engineer,Analog,BE
31,Electronics Engineer,MATLAB|Analog,BE
32,Electronics Engineer,MATLAB|Python,BE
33,Electronics Engineer,VLSI|Analog,MTech
34,Electronics Engineer,Analog|Python,BE
35,Electronics Engineer,Digital|Analog,BE
36,Electronics Engineer,Python|Analog,BE
37,Electronics Engineer,VLSI|Python,BE
38,Electronics Engineer,VLSI|Python,MTech
39,Electronics Engineer,Analog,BE
40,Electronics Engineer,Analog,MTech
41,Electronics Engineer,Digital|Analog,BE
42,Electronics Engineer,Analog,BE
43,Electronics Engineer,Digital|MATLAB|Analog,MTech
44,Electronics Engineer,VLSI|Analog,BE
45,Electronics Engineer,Analog|Python,MTech
46,Electronics Engineer,Digital|VLSI,BE
47,Electronics Engineer,VLSI|Analog|Python,BE
