jobId,title,genres
0,Data Scientist,Python|PHP|ObjectC|AWS|JavaScript
1,Data Scientist,Python|ObjectC|JavaScript
2,Data Scientist,AWS|SQL
3,Data Scientist,AWS|Hadoop|SQL
4,Data Scientist,AWS
5,Data Scientist,R|HTML|ASP
6,Data Scientist,AWS|SQL
7,Data Scientist,Python|ObjectC
8,Data Scientist,R
9,Data Scientist,R|Python|ASP
10,Data Scientist,AWS|Hadoop|SQL
11,Data Scientist,AWS|Perl
12,Data Scientist,Python|PHP|ObjectC
13,Data Scientist,Hadoop
14,Data Scientist,R|Python|SQL
15,Data Scientist,HTML|Hadoop
16,Data Scientist,Hadoop|SQL
17,Data Scientist,AWS
18,Data Scientist,AWS
19,Data Scientist,R|AWS|HTML|Hadoop|ASP
20,Data Scientist,AWS|HTML|ASP
21,Data Scientist,HTML|Hadoop|Perl|nNode|ASP
22,Data Scientist,R|HTML|ASP
23,Data Scientist,Hadoop|Ruby
24,Data Scientist,Hadoop|SQL
25,Data Scientist,Hadoop
26,Data Scientist,ObjectC|Hadoop
27,Data Scientist,Hadoop|SQL
28,Data Scientist,Python|Hadoop|JavaScript|nNode|Ruby
29,Data Scientist,HTML|Hadoop
30,Data Scientist,Hadoop
31,Data Scientist,nNode|Ruby|ASP
32,Data Scientist,Python|SQL|Azure
33,Data Scientist,ObjectC|Hadoop
34,Data Scientist,Hadoop|SQL
35,Data Scientist,HTML|Hadoop
36,Data Scientist,Java|Azure
37,Data Scientist,ObjectC|AWS
38,Data Scientist,AWS|SQL
39,Data Scientist,Hadoop
40,Data Scientist,Hadoop|Scala
41,Data Scientist,R|HTML|Hadoop
42,Data Scientist,Hadoop
43,Data Scientist,R|Python|JavaScript
44,Data Scientist,AWS|Hadoop|ASP
45,Data Scientist,Hadoop|SQL
46,Data Scientist,nNode|ASP
47,Data Scientist,PHP|ObjectC|Hadoop|ABAP|SQL
48,Data Scientist,HTML|nNode|ASP
49,Data Scientist,AWS|Hadoop|SQL
50,Data Scientist,Python|Hadoop
51,Data Scientist,ObjectC|AWS
52,Data Scientist,Hadoop
53,Data Scientist,Hadoop
54,Data Scientist,AWS|Hadoop|SQL
55,Data Scientist,Hadoop|nNode
56,Data Scientist,Python|ObjectC|JavaScript
57,Data Scientist,Hadoop|ASP
58,Data Scientist,Hadoop
59,Data Scientist,AWS|HTML
60,Data Scientist,AWS|SQL
61,Data Scientist,AWS
62,Data Scientist,R|Ruby|ASP
63,Data Scientist,Hadoop
64,Data Scientist,AWS|SQL
65,Data Scientist,AWS
66,Data Scientist,R|AWS|Perl|ASP
67,Data Scientist,R
68,Data Scientist,AWS|Hadoop
69,Data Scientist,Hadoop|Scala
70,Data Scientist,Hadoop|SQL
71,Data Scientist,R|Ruby|ASP
72,Data Scientist,Java
73,Data Scientist,R|HTML|Hadoop|ASP
74,Data Scientist,Hadoop|ASP
75,Data Scientist,ObjectC|Hadoop
76,Data Scientist,HTML|Hadoop|SQL
77,Data Scientist,AWS|Hadoop
78,Data Scientist,Hadoop|SQL
79,Data Scientist,AWS|Hadoop
80,Data Scientist,Hadoop|SQL
81,Data Scientist,R|Python|Hadoop
82,Data Scientist,ObjectC|AWS
83,Data Scientist,AWS
84,Data Scientist,R|ASP
85,Data Scientist,Hadoop|Perl|ASP
86,Data Scientist,AWS|Perl|SQL
87,Data Scientist,AWS|Hadoop|SQL
88,Data Scientist,R|Python|ASP
89,Data Scientist,AWS|Hadoop
90,Data Scientist,HTML|Hadoop
91,Data Scientist,R|ASP
92,Data Scientist,Java
93,Data Scientist,Hadoop|ASP
94,Data Scientist,Python|AWS|HTML|SQL
95,Data Scientist,AWS
96,Data Scientist,nNode|Ruby|ASP
97,Data Scientist,AWS
98,Data Scientist,Hadoop|SQL
99,Data Scientist,AWS|Hadoop
100,Data Scientist,Python|ObjectC|AWS|ABAP
101,Data Scientist,R|Hadoop|Scala
102,Data Scientist,HTML|Hadoop|ASP
103,Data Scientist,R|Python|AWS|HTML
104,Data Scientist,Hadoop|nNode
105,Data Scientist,Hadoop
106,Data Scientist,Java
107,Data Scientist,HTML|Hadoop
108,Data Scientist,AWS|SQL
109,Data Scientist,AWS
110,Data Scientist,Python|AWS|Hadoop
111,Data Scientist,Hadoop
112,Data Scientist,AWS|SQL
113,Data Scientist,Hadoop|nNode|SQL
114,Data Scientist,Hadoop
115,Data Scientist,AWS
116,Data Scientist,Python|ObjectC|JavaScript
117,Data Scientist,Java
118,Data Scientist,Hadoop|SQL
119,Data Scientist,ASP
120,Data Scientist,AWS|Hadoop
121,Data Scientist,Java
122,Data Scientist,AWS
123,Data Scientist,Java
124,Data Scientist,Java
125,Data Scientist,Hadoop
126,Data Scientist,Hadoop|SQL
127,Data Scientist,AWS
128,Data Scientist,AWS
129,Data Scientist,R|AWS|HTML|Hadoop|ASP
130,Data Scientist,Python|ObjectC
131,Data Scientist,Hadoop
132,Data Scientist,Hadoop
133,Data Scientist,HTML|Hadoop|ASP
134,Data Scientist,Python|Hadoop|Azure
135,Data Scientist,R|Hadoop|SQL|Scala
136,Data Scientist,Hadoop|Perl
137,Data Scientist,R|Python|AWS|HTML
138,Data Scientist,Hadoop
139,Data Scientist,Python|Hadoop|Scala
140,Data Scientist,AWS|Hadoop
141,Data Scientist,AWS|Scala
142,Data Scientist,Python|ObjectC
143,Data Scientist,HTML|Hadoop|nNode
144,Data Scientist,R|Python|nNode|Ruby
145,Data Scientist,Hadoop|ASP|Scala
146,Data Scientist,Java
147,Data Scientist,R|SQL|MATLAB
148,Data Scientist,HTML|Film-Noir|nNode|ASP
149,Data Scientist,R|HTML|ASP
150,Data Scientist,AWS|HTML|Hadoop
151,Data Scientist,R|Hadoop|SQL
152,Data Scientist,Python|ObjectC|Hadoop
153,Data Scientist,R|Python|HTML|ASP
154,Data Scientist,AWS|Hadoop
155,Data Scientist,R|Ruby|ASP
156,Data Scientist,R|HTML|Ruby
157,Data Scientist,AWS
158,Data Scientist,Hadoop
159,Data Scientist,AWS
160,Data Scientist,Perl
161,Data Scientist,AWS|Hadoop
162,Data Scientist,Hadoop|SQL
163,Data Scientist,AWS|SQL
164,Data Scientist,R|ObjectC
165,Data Scientist,Hadoop|SQL
166,Data Scientist,AWS|Perl|ASP
167,Data Scientist,Hadoop
168,Data Scientist,R|HTML|ASP
169,Data Scientist,AWS|SQL
170,Data Scientist,AWS
171,Data Scientist,JavaScript|Perl|nNode
172,Data Scientist,AWS|JavaScript
173,Data Scientist,ASP
174,Data Scientist,Hadoop|SQL
175,Data Scientist,Hadoop
176,Data Scientist,AWS|Hadoop
177,Data Scientist,AWS|Hadoop|SQL
178,Data Scientist,Perl|Ruby
179,Data Scientist,R|HTML|Hadoop|nNode|Ruby|ASP
180,Data Scientist,Hadoop|ABAP|SQL
181,Data Scientist,ASP
182,Data Scientist,Hadoop|JavaScript
183,Data Scientist,Hadoop|SQL
184,Data Scientist,AWS
185,Data Scientist,R
186,Data Scientist,AWS|Hadoop
187,Data Scientist,Java
188,Data Scientist,Hadoop|SQL
189,Data Scientist,R|Python|Ruby
190,Data Scientist,Hadoop
191,Data Scientist,MATLAB
192,Data Scientist,Hadoop
193,Data Scientist,Python|AWS|HTML|nNode
194,Data Scientist,Hadoop
195,Data Scientist,Hadoop|Scala
196,Data Scientist,Hadoop|SQL
197,Data Scientist,AWS
198,Data Scientist,Hadoop|ASP
199,Data Scientist,AWS|Hadoop
200,Data Scientist,Hadoop
201,Data Scientist,Perl
202,Data Scientist,Hadoop|SQL
203,Data Scientist,AWS
204,Data Scientist,AWS|Hadoop|SQL
205,Data Scientist,Hadoop|ASP
206,Data Scientist,R|ASP
207,Data Scientist,Hadoop|ASP
208,Data Scientist,Hadoop|ASP
209,Data Scientist,Python|AWS
210,Data Scientist,AWS|Hadoop|SQL
211,Data Scientist,Hadoop
212,Data Scientist,AWS
213,Data Scientist,AWS|Hadoop
214,Data Scientist,R|AWS|SQL
215,Data Scientist,AWS|SQL
216,Data Scientist,Python|ObjectC
217,Data Scientist,PHP|ObjectC|AWS|SQL
218,Data Scientist,ASP
219,Data Scientist,ObjectC|Hadoop
220,Data Scientist,Hadoop|ABAP
221,Data Scientist,ObjectC|AWS|JavaScript
222,Data Scientist,PHP|ObjectC
223,Data Scientist,HTML|Hadoop
224,Data Scientist,Java
225,Data Scientist,HTML|Hadoop
226,Data Scientist,AWS
227,Data Scientist,Hadoop|SQL
228,Data Scientist,ObjectC|AWS
229,Data Scientist,R
230,Data Scientist,AWS|SQL
231,Data Scientist,Hadoop|Perl
232,Data Scientist,Hadoop
233,Data Scientist,AWS
234,Data Scientist,AWS|Ruby
235,Data Scientist,nNode|ASP
236,Data Scientist,Python|ObjectC|AWS|JavaScript|SQL
237,Data Scientist,HTML|Hadoop|ASP
238,Data Scientist,R|Python|Ruby
239,Data Scientist,Hadoop
240,Data Scientist,ObjectC|Hadoop
241,Data Scientist,Hadoop
242,Data Scientist,Hadoop
243,Data Scientist,Hadoop|JavaScript|SQL
244,Data Scientist,Hadoop|SQL|Scala|MATLAB
245,Data Scientist,AWS
246,Data Scientist,HTML|Hadoop
247,Data Scientist,Hadoop
248,Data Scientist,Hadoop|SQL
249,Data Scientist,Hadoop
250,Data Scientist,AWS|Hadoop
251,Data Scientist,Hadoop|Perl|Ruby
252,Data Scientist,AWS
253,Data Scientist,AWS
254,Data Scientist,AWS|SQL
255,Data Scientist,Hadoop
256,Data Scientist,AWS
257,Data Scientist,Hadoop
258,Data Scientist,Hadoop|ASP
259,Data Scientist,AWS|Hadoop|SQL
260,Data Scientist,Hadoop
261,Data Scientist,HTML|Hadoop
262,Data Scientist,Hadoop|Perl
263,Data Scientist,AWS|SQL
264,Data Scientist,R|HTML|ASP
265,Data Scientist,AWS|SQL
266,Data Scientist,HTML|Hadoop
267,Data Scientist,Hadoop|ASP
268,Data Scientist,R|Hadoop|Ruby|ASP
269,Data Scientist,R|HTML|Hadoop|ASP
270,Data Scientist,AWS|SQL
271,Data Scientist,AWS|SQL
